threads call time_max
1.0 MPI 0.14947227272727273
4.0 MPI 0.12851276767676767
12.0 MPI 0.1737819595959596
24.0 MPI 0.27828351515151517
36.0 MPI 0.3164780505050505
1.0 MPI_SYNC 0.14853430303030302
4.0 MPI_SYNC 0.37095533333333336
12.0 MPI_SYNC 0.5255413636363636
24.0 MPI_SYNC 0.6217907878787878
36.0 MPI_SYNC 0.5970927373737374
1.0 USER 0.45322221212121216
4.0 USER 0.5603528080808081
12.0 USER 0.8015854141414142
24.0 USER 1.110568505050505
36.0 USER 1.1732426464646464
1.0 "SYNC -MPI - MPI_SYNC" 0.15521563636363642
4.0 "SYNC -MPI - MPI_SYNC" 0.06088470707070709
12.0 "SYNC -MPI - MPI_SYNC" 0.10226209090909094
24.0 "SYNC -MPI - MPI_SYNC" 0.21049420202020197
36.0 "SYNC -MPI - MPI_SYNC" 0.2596718585858585
