threads call time time time time
  max mean min std
1.0 MPI 14.797755 10.897460704191985 8.204901000000001 0.8457395889780704
1.0 MPI_SYNC 14.704895999999998 13.470184693467884 10.623708 0.6252943719478975
1.0 USER 44.868999 41.775226881528496 39.088038 0.7285504481755902
4.0 MPI 12.722764 10.972850974999998 9.066917 0.45743358269697193
4.0 MPI_SYNC 36.724578 34.450711540873016 30.388082999999998 0.844692688544667
4.0 USER 55.474928 52.074879941666666 49.578587 0.9840151212832512
12.0 MPI 17.204414 13.90215638389757 10.726951 0.7763307262593083
12.0 MPI_SYNC 52.028595 45.08458061024306 38.149899 1.8529955905090238
12.0 USER 79.356956 71.65527771484375 63.871138 2.025020970097122
24.0 MPI 27.550068000000003 21.47474555138889 16.404291 1.8036878012455502
24.0 MPI_SYNC 61.557288 53.657455264583334 36.311756 3.2146265532164615
24.0 USER 109.946282 88.11281599097221 76.935363 3.947286516011603
36.0 MPI 31.331326999999998 25.00135516796875 20.051927 1.6343802056771763
36.0 MPI_SYNC 59.112181 51.98899550195313 34.268434 3.2947081680517325
36.0 USER 116.151022 95.79750323567708 87.437031 3.681762205759031
