threads call time time time time
  max mean min std
1.0 MPI 0.14947227272727273 0.1100753606484039 0.0828777878787879 0.008542824131091621
1.0 MPI_SYNC 0.14853430303030302 0.13606247165119076 0.10731018181818182 0.00631610476715048
1.0 USER 0.45322221212121216 0.42197198870230807 0.39482866666666666 0.007359095436117073
4.0 MPI 0.12851276767676767 0.11083687853535351 0.09158502020202021 0.004620541239363353
4.0 MPI_SYNC 0.37095533333333336 0.3479869852613436 0.3069503333333333 0.00853224937923906
4.0 USER 0.5603528080808081 0.5260088882996633 0.5007938080808081 0.0099395466796288
12.0 MPI 0.1737819595959596 0.1404258220595714 0.1083530404040404 0.00784172450766978
12.0 MPI_SYNC 0.5255413636363636 0.45539980414386927 0.38535251515151514 0.018717127176858826
12.0 USER 0.8015854141414142 0.7237906839883207 0.6451630101010101 0.0204547572737083
24.0 MPI 0.27828351515151517 0.2169166217312009 0.1656999090909091 0.018219068699450003
24.0 MPI_SYNC 0.6217907878787878 0.5419944976220539 0.3667854141414142 0.03247097528501476
24.0 USER 1.110568505050505 0.8900284443532547 0.7771248787878787 0.03987158096981417
36.0 MPI 0.3164780505050505 0.25253894109059344 0.20254471717171715 0.016508890966436124
36.0 MPI_SYNC 0.5970927373737374 0.5251413687065972 0.346145797979798 0.03327988048537103
36.0 USER 1.1732426464646464 0.9676515478351221 0.8832023333333334 0.0371895172298892
